CADDID,PlaceID,FacilityName,Latitude,Longitude,StreetAddress,City,County,ZipCode,RegionalWaterBoard
10447,233745,Joe Bertao & Sons Dairy (Closed),37.0544,-120.3413,11270 Avenue 21,Chowchilla,Madera,93610,5F
10448,233747,John Brasil Facility,37.447,-120.9627,9730 West Bradbury Road,Turlock,Stanislaus,95380,5S
10449,233749,Vierra Dairy Farms #4/Cross Creek Dairy,37.4038,-120.9051,7965 Washington Road,Hilmar,Merced,95324,5S
10450,233751,Golden Star Dairy,36.5046,-119.8474,15959 South Marks Avenue,Caruthers,Fresno,93609,5F
10451,233754,JOE V. CARDOZA TRUST DAIRY,36.1369,-119.3961,19199 Road 80,Tulare,Tulare,93274,5F
10452,233757,Double Cross #2,37.4477,-120.8252,18637 East Bradbury Road,Turlock,Merced,95380,5S
11800,233760,Dairy Goddess Farms,36.381,-119.8369,21154  Elgin Avenue,Lemoore,Kings,93245,5F
10453,233761,Joe D. Coelho Dairy (closed),36.6407,-119.827,6503 South West Avenue,Fresno,Fresno,93706,5F
10454,233763,Da Silva Dairy Farms LLC #1,37.8545,-120.9748,27398 Dodds Road,Escalon,San Joaquin,95320,5S
10455,233766,Gordon Dairy #5,33.9923,-117.628,14400 South Grove Avenue,Ontario,San Bernardino,91710,8
10456,233772,Joe Gomes Dairy #1,37.4411,-120.799,17265 Swanson Road,Delhi,Merced,95315,5S
10457,233774,"Trimac Enterprises, LLC.",37.7802,-120.9462,29094 East Lemon Avenue,Escalon,San Joaquin,95320,5S
10458,233777,Homen Dairy Farms LP,37.1854,-120.5956,5511 West Sandy Mush Road,Merced,Merced,95340,5S
10459,233779,John A Machado Dairy Farms,37.7307,-121.2153,24916 South Manteca Road,Manteca,San Joaquin,95336,5S
11801,233781,Sunshine Dairy Heifers (Former P&E Heifers),36.2876,-119.5839,12700  7th Avenue,Hanford,Kings,93230,5F
10460,233784,Eugenio Azevedo Dairy #1,37.2802,-120.5835,5217 Oak Avenue,Merced,Merced,95341,5S
10461,233788,Joe Simoes Family Dairy,36.0333,-119.2683,13441 Road 136,Tipton,Tulare,93272,5F
10462,233789,LEGENDAIRY FARMS,36.0567,-119.3599,14685 Road 96,Tipton,Tulare,93272,5F
10463,233792,Machado Brothers Dairy,36.1985,-119.6151,8800 Lansing Avenue,Hanford,Kings,93230,5F
10464,233796,Triple J Creek Dairy,37.1147,-120.894,22484 China Camp Road,Los Banos,Merced,93635,5S
10465,233801,Parreira Dairy,36.2099,-119.7623,18081 17th Avenue,Stratford,Kings,93266,5F
10466,233803,Joe Pedro & Son Dairy,36.279,-119.3303,26946 Road 108,Visalia,Tulare,93291,5F
10467,233804,Joe V. Pimentel Dairy,36.4069,-119.5648,4625 6th Avenue,Hanford,Kings,93230,5F
10468,233805,Joe Pinheiro & Sons Dairy,36.043,-119.3039,13881 Road 120,Tipton,Tulare,93272,5F
10469,233812,Sozinho Dairy #1,36.3067,-119.6099,11447 8 1/2 Avenue,Hanford,Kings,93230,5F
11898,233814,Joe Tognalda Dairy,38.1817,-122.6108,460  San Antonio,Petaluma,Sonoma,94952,2
10470,233816,Shaffer Dairy,37.4056,-120.5923,5968 Eucalyptus Avenue,Winton,Merced,95388,5S
10471,233831,Johann Dairy,36.5724,-120.002,11511 West Floral Avenue,Fresno,Fresno,93706,5F
10472,233838,vacant DAIRY,36.3716,-119.8428,7155 21 1/2 Avenue,Lemoore,Kings,93245,5F
10473,233840,John & Natalie Toste,36.3802,-119.8435,21519 Elgin Avenue,Lemoore,Kings,93245,5F
10474,233841,Alston Dairy,39.7437,-122.1976,1010 Hwy 99W,Orland,Glenn,95963,5S
10475,233848,John Bootsma Dairy,33.8416,-117.0969,32300 Ramona Expressway,Lakeview,Riverside,92567,8
10476,233850,Dyt Heifer Ranch,33.9979,-117.6071,9064 Edison Avenue,Ontario,San Bernardino,91762,8
10477,233853,John & Teresa Borges Dairy,37.7229,-121.3219,25834 Kasson Road,Tracy,San Joaquin,95304,5S
10478,233854,Kerman Cattle Company,36.6721,-119.9695,4301 South Dickenson Avenue,Fresno,Fresno,93706,5F
10479,233857,Bento Bovine Dairy,37.6084,-121.0962,5618 Paradise Road,Modesto,Stanislaus,95358,5S
11802,233859,John Correia Cattle,36.3147,-119.5763,6672  Hanford-Armona,Hanford,Kings,93230,5F
10480,233862,Parreira Gaspar Dairy,36.1298,-119.2117,16087 Avenue 188,Strathmore,Tulare,93267,5F
10481,233863,John DeGroot & Son Dairy,36.6468,-119.9048,6105 West Lincoln Avenue,Fresno,Fresno,93706,5F
10482,233865,Cowlifornia Dairy LLC,36.3303,-119.5261,3742 Lacey Boulevard,Hanford,Kings,93230,5F
10483,233866,Former American Dairy,36.6549,-119.8906,5525 South Polk Avenue,Fresno,Fresno,93706,5F
10484,233872,FM Ranch #4,36.3432,-119.1607,18354 Avenue 304,Visalia,Tulare,93292,5F
10485,233873,Rainimade Dairy,36.3415,-119.7407,15739 Grangeville Boulevard,Hanford,Kings,93230,5F
10486,233874,J & M Dairy,38.3232,-121.4196,11910 Bruceville Road,Elk Grove,Sacramento,95757,5S
11860,233878,John Grizzle Feedlot,32.8476,-115.3286,2704  Webb Road,Holtville,Imperial,92250,7
10487,233890,Jersey Creek Dairy,36.2569,-119.5471,14857 5th Avenue,Hanford,Kings,93230,5F
10488,233891,Santa Anita Dairy,36.2408,-119.4445,5792 Avenue 248,Tulare,Tulare,93274,5F
11698,233894,MDF Feedlot,37.2875,-120.5971,25 South Quinley,Merced,Merced,95341,5S
10489,233895,Double Cross #7/Larry B. Peterson Dairy Farms #2,37.4097,-120.8659,20775 West American Avenue,Hilmar,Merced,95324,5S
10490,233909,Oostdam Dairy Heifer Ranch,33.813,-116.9877,1655 North Ramona Boulevard,San Jacinto,Riverside,92582,8
10491,233927,Van Exel Dairy #3,38.1376,-121.408,7406 West Cotta Road,Lodi,San Joaquin,95242,5S
10492,233934,John Thomas Dairy,37.4491,-120.9692,10408 West Bradbury Road,Turlock,Stanislaus,95380,5S
10493,233936,Pereira Family Dairy,36.1755,-119.2337,21371 Road 152,Tulare,Tulare,93274,5F
11767,233939,Teunissen Ranch #2,36.132,-119.501,18943 Road 32,Tulare,Tulare,93274,5F
10494,233980,Johnson & Neles Dairy,38.2487,-122.4798,22030 Bonness Road,Sonoma,Sonoma,95476,2
10495,233996,Van Steyn Dairy #3,38.3232,-121.3948,8383 Lambert Road,Elk Grove,Sacramento,95758,5S
10496,234042,Maze Dairy,37.6353,-121.1318,7500 Maze Boulevard,Modesto,Stanislaus,95358,5S
10497,234045,GH Dairy #4,33.9976,-117.6291,8061 Edison Avenue,Ontario,San Bernardino,91762,8
10498,234052,Koolhaas Dairy #2,37.8269,-121.0067,24586 East Lone Tree Road,Escalon,San Joaquin,95320,5S
10499,234053,Manuel Mendonca Trustee,36.3414,-119.4846,9080 1 1/2 Avenue,Hanford,Kings,93230,5F
10500,234055,Jose L. Homem Dairy,40.9058,-124.1154,4002 Old River Road,Arcata,Humboldt,95521,1
10501,234057,Forebay Farms Dairy,37.0905,-120.9753,13699 South Cherokee Road,Gustine,Merced,95322,5S
10502,234059,Jose Ribeiro & Son Dairy,36.4312,-119.7311,3666 East Mt. Whitney Avenue,Laton,Fresno,93242,5F
10503,234115,Julian Sanchez & Sons Dairy,36.1156,-119.3963,17945 Road 80,Tulare,Tulare,93274,5F
10504,234149,Tierra Buena Ranch,37.4309,-120.641,8632 Meadow Drive,Winton,Merced,95388,5S
10505,234150,JVJ Dairy #2 - Parkview Dairy,37.4104,-120.7406,13640 Collier Road,Delhi,Merced,95315,5S
10506,234487,K & M Visser Dairy,35.961,-119.3658,9279 Avenue 96,Pixley,Tulare,93256,5F
10507,234552,Kaehler Dairy Farm,38.0865,-121.3035,1025 East Armstrong Road,Lodi,San Joaquin,95242,5S
10508,234617,Kansas Holstein Dairy,36.2118,-119.6075,8480 Kansas Avenue,Hanford,Kings,93230,5F
10509,234639,Chino Valley Dairy #1,33.9903,-117.6396,7565 Eucalyptus Avenue,Ontario,San Bernardino,91762,8
10510,234732,Kehoe Dairy Inc. (J Ranch),38.16,-122.9377,6150 Pierce Pt,Inverness,Marin,95437,2
10511,235020,Roy King Dairy,38.2395,-122.6922,1241 Middle Two Rock Road,Petaluma,Sonoma,94952,2
10512,235138,Sozinho Jerseys Dairy,36.401,-119.5392,4615 Excelsior Avenue,Hanford,Kings,93230,5F
10513,235150,Harry Kneppel Dairy,38.3014,-121.4144,7816 Camp Road,Elk Grove,Sacramento,95757,5S
10514,235180,L & J Vanderham Dairy,36.4317,-119.9896,10772 West Mt. Whitney Avenue,Riverdale,Fresno,93656,5F
10515,235211,Frank Konyn Dairy,33.0879,-116.9987,15777 Old Milky Way,Escondido,San Diego,92027,9
10516,235213,Koolhaas Dairy,37.8568,-120.9827,26805 Dodds Road,Escalon,San Joaquin,95320,5S
10517,235215,Archibald Ranch,34.0033,-117.5932,13838 South Archibald Avenue,Ontario,San Bernardino,91761,8
10518,235217,Kootstra Dairy,35.231,-118.9676,13628 Adobe Road,Bakersfield,Kern,93307,5F
10519,235270,LegenDairy West,36.0616,-119.382,8509 AVENUE 152,Tipton,Tulare,93272,5F
11878,235283,Kuhn Farms Dairy/OWB Ranches,32.7877,-115.7613,1870-B  Jeffrey Road,El Centro,Imperial,92243,7
11777,235289,Standard Cattle Company,36.6153,-120.0996,8105A S  Lassen AVE,San Joaquin,Fresno,93660,5F
10520,235626,Watte Bros Dairy #2 - CLOSED,36.1796,-119.4805,4125 Avenue 216,Tulare,Tulare,93274,5F
10521,235627,Four Family K Dairy (Vacant),36.2026,-119.4591,5147 Avenue 228,Tulare,Tulare,93274,5F
10522,235634,Double Oak Dairy,36.2541,-119.2963,3573 E Oakdale Ave,Tulare,Tulare,93274,5F
10523,235647,John Verburg Dairy (Closed),36.6962,-119.8606,2588 South Brawley Avenue,Fresno,Fresno,93706,5F
10524,235679,LK Ranches Dairy,36.3162,-119.4502,29007 Road 56,Visalia,Tulare,93277,5F
10525,235683,R & J McClelland Dairy,38.1167,-122.9261,100 Pierce Point,Inverness,Marin,94937,2
11882,236073,Labrucherie Ranch,32.7577,-115.582,1407 S Labrucherie Road,El Centro,Imperial,92243,7
10526,236113,Lafranchi Ranch,38.0821,-122.7086,6290 Nicasio Valley Rd.,Nicasio,Marin,94946,2
10527,236282,Former VL Furtado Dairy (demolished),36.4178,-119.5791,3855 7th Avenue,Hanford,Kings,93230,5F
11695,236534,Langerwerf Dairy,39.646,-121.7493,1251 Durham-Dayton,Durham,Butte,95922,5R
10528,236585,Bidart Dairy No. 3,35.3553,-119.2893,25820 Stockdale Highway,Bakersfield,Kern,93314,5F
10529,236674,Lauren Duhalde Dairy,33.99,-117.5897,9859 Eucalyptus,Ontario,San Bernardino,91762,8
10530,236699,Frank C. Lawrence Dairy,36.306,-119.4541,28476 Road 52,Visalia,Tulare,93277,5F
10531,236758,Leal Ranches,33.9804,-117.5645,12740 58th Street,Corona,Riverside,92880,8
10532,236809,Legend Dairy Farms 3 - Edison,33.9971,-117.5666,11091 Edison Avenue,Ontario,San Bernardino,91761,8
10533,236833,Lekkerkerk Dairy,33.966,-117.667,15779 Mountain Avenue,Chino,San Bernardino,91708,8
10534,236834,Lekkerkerk Dairy #2,33.9558,-117.6669,16195 Mountain Avenue,Chino,San Bernardino,91708,8
10535,236881,"Pareira Dairy, LP",37.4837,-120.5288,2487 West Turlock Road,Snelling,Merced,95369,5S
10536,236885,Leonardo Bros Dairy,36.4961,-119.6942,16508 South Clovis Avenue,Selma,Fresno,93662,5F
10537,236892,Lepori Dairy,38.3092,-122.8724,6800 Gericke Road,Petaluma,Sonoma,94952,1
10538,236897,Lerda-Goni Farms Dairy,36.1321,-119.255,18797 Road 142,Tulare,Tulare,93274,5F
11688,236919,Leveroni Brothers Dairy,38.1253,-122.641,3100 Novato Blvd,Novato,Marin,94947,2
10539,237015,Lima Ranch,38.0991,-121.3838,13436 North Thornton Road,Lodi,San Joaquin,95242,5S
10540,237287,Log Haven Dairy,36.3557,-119.595,7755 Fargo Avenue,Hanford,Kings,93230,5F
10541,237294,Luke McCanless Dairy #2 @ Coffee Creek,40.5724,-124.2232,2824 Grizzly Bluff Road,Ferndale,Humboldt,95536,1
10542,237321,Lone Oak Farms Dairy #1,36.2792,-119.531,13866 4th Avenue,Hanford,Kings,93230,5F
10543,237326,"Jackson Dairy, LLC",36.2532,-119.6126,8637 Jackson Avenue,Hanford,Kings,93230,5F
10544,237349,High Roller Dairy,36.258,-119.6013,14782 8th Avenue,Hanford,Kings,93230,5F
10545,237361,A.M. Dairy,36.4946,-119.3794,8651 Avenue 388,Dinuba,Tulare,93618,5F
11768,237387,John Lorenzo Dairy,36.1968,-119.4041,703 S. Palm St,Tulare,Tulare,93274,5F
10546,237463,Losa Dairy,40.585,-124.2131,199 Saottini Lane,Ferndale,Humboldt,95536,1
10547,237507,Lou-Mar Dairy,36.0659,-119.2402,14870 Avenue 152,Tipton,Tulare,93272,5F
10548,237517,Riverbend East Dairy,36.1582,-119.2603,20303 Road 140,Tulare,Tulare,93274,5F
10549,237641,Lu/AR Dairy,36.3844,-119.7246,6121 15th Avenue,Hanford,Kings,93230,5F
10550,237643,Deer Creek Cattle,36.1226,-119.4368,6141 Avenue 184,Tulare,Tulare,93274,5F
10551,237683,Luis C Nunes & Sons Dairy #2,37.1407,-121.0146,10268 South Hwy 33,Gustine,Merced,95322,5S
10552,237684,Valley View Dairy #2,36.2548,-119.5451,15010 5th Avenue,Hanford,Kings,93230,5F
10553,237685,Raven Dairy,36.5036,-119.6239,9203 East Clarkson Avenue,Selma,Fresno,93662,5F
10554,237686,H & D Silveira Dairy,37.1475,-120.9479,25469 West Hearst Road,Gustine,Merced,95322,5S
10555,237694,Lumar Dairy Farms,37.4271,-120.9317,7215 South Prairie Flower Road,Turlock,Stanislaus,95380,5S
11803,238240,Sam Habib Cattle Co,36.4035,-119.5592,5590 East Excelsior Avenue,Hanford,Kings,93230,5F
10556,238879,M & A Dairy,37.0748,-120.6801,14651 Carlucci Road,Dos Palos,Merced,93620,5S
10557,238899,Tony Machado Dairy,37.0912,-120.2989,13611 Avenue 23 1/2,Chowchilla,Madera,93610,5F
10558,238904,M & M Moules Dairy,38.1035,-121.1554,12821 East Harney Lane,Lodi,San Joaquin,95240,5S
10559,238918,AC Enterprises Dairy,36.0704,-119.4137,15499 Road 72,Tipton,Tulare,93272,5F
10560,238934,Curti Family Inc.,36.1473,-119.4999,3235 Avenue 199,Tulare,Tulare,93274,5F
10561,238935,Curtimade Dairy,36.121,-119.5185,18337 Road 24,Tulare,Tulare,93274,5F
10562,238974,Angelo Dairy,38.2209,-121.1787,11313 East Collier Road,Acampo,San Joaquin,95220,5S
10563,239002,Faria Feedlot,36.3085,-119.3726,2507 South Shirk Road,Visalia,Tulare,93277,5F
10564,239040,North Moon Dairy,36.0487,-119.4081,7325 Avenue 144,Tipton,Tulare,93273,5F
10565,239047,Machado Dairy LP,36.6756,-119.8738,4423 West Central Avenue,Fresno,Fresno,93706,5F
10566,239048,Machado Dairy,36.1554,-119.4911,20180 Road 36,Tulare,Tulare,93274,5F
10567,239049,Machado Dairy Farms #2,37.8817,-121.0738,19405 East Mariposa Road,Stockton,San Joaquin,95215,5S
10568,239050,Machado Dairy Farms #1,37.7001,-121.2241,28128 South Two Rivers Road,Manteca,San Joaquin,95337,5S
10569,239061,F & S Brasil Dairy,37.718,-121.2326,26212 South Union Road,Manteca,San Joaquin,95337,5S
10570,239098,Maddox Dairy,36.5339,-120.0235,12840 West Kamm Avenue,Riverdale,Fresno,93656,5F
11778,239106,Madera Calf Ranch,36.9509,-120.1951,13894 Road 19 1/2,Madera,Madera,93637,5F
10571,239135,Nunes Heifers,37.2588,-120.4413,2618 Reilly Road,Merced,Merced,95340,5S
10572,239173,Magneson Dairy,37.4329,-120.6672,10235 West El Capitan Way,Ballico,Merced,95303,5S
10573,239249,Three D Dairy #2,33.9932,-117.6182,14333 Walker Avenue,Ontario,San Bernardino,91762,8
10574,239254,Green Valley Feedlot,36.4895,-119.829,2160 West Elkhorn Avenue,Caruthers,Fresno,93609,5F
10575,239300,MS3 Dairy,36.1774,-119.4025,21399 Road 76,Tulare,Tulare,93274,5F
10576,239301,Mancebo Holsteins,36.21,-119.2385,14891 Ave 232,Tulare,Tulare,93274,5F
10577,239356,Carmo Dairy,38.3683,-121.4519,10775 Franklin Boulevard,Elk Grove,Sacramento,95757,5S
10578,239359,Manuel Da Silva Dairy,37.8195,-120.9542,15822 Steingul Road,Escalon,San Joaquin,95320,5S
10579,239361,"Wilgenburg West, LLC",36.36,-119.5897,7442 7th Avenue,Hanford,Kings,93230,5F
10580,239363,Manuel Godinho Dairy,37.1066,-120.8709,12710 South Wilson Road,Los Banos,Merced,93635,5S
11664,239366,Manuel Leal & Son Dairy,36.1686,-119.4245,6500 AVENUE 208,Tulare,Tulare,93274,5F
10581,239367,Double Cross #5/CMA Livestock,37.3895,-120.8323,19051 West Williams Avenue,Hilmar,Merced,95324,5S
10582,239369,White River Dairy,37.0027,-120.1762,20400 Avenue 17  1/2,Madera,Madera,93637,5F
10583,239370,Martin Ranch,36.0504,-119.2469,14861 Avenue 144,Tipton,Tulare,93272,5F
10584,239372,LMT Investments LLC,37.6588,-121.1584,1636 Gates Road,Modesto,Stanislaus,95358,5S
10585,239376,M.F. Rosa Dairy,36.3282,-119.4958,10090 2nd Avenue,Hanford,Kings,93230,5F
10586,239377,Rosa Dairy,35.2111,-118.9517,4714 East Bear Mountain Boulevard,Bakersfield,Kern,93307,5F
10587,239380,Sozinho Dairy #3,36.3097,-119.61,11235 8 1/2 Avenue,Hanford,Kings,93230,5F
10588,239381,Maria Silveira Dairy,37.1365,-120.956,10511 Ingomar Grade Road,Gustine,Merced,95322,5S
10589,239383,Manuel B Toste,36.3135,-119.5729,6431 Hanford-Armona Road,Hanford,Kings,93230,5F
11689,239388,MER Properties,37.8566,-121.2561,11349 S Airport Way,Manteca,San Joaquin,95336,5S
10590,239389,Tony & Julie Jorge Dairy,36.0052,-119.4657,4645 Avenue 120,Corcoran,Tulare,93212,5F
10591,239411,Maple Dairy,35.2063,-119.1785,15857 Bear Mountain Boulevard,Bakersfield,Kern,93311,5F
10592,239535,Mario Simoes Jr. Dairy,36.1779,-119.409,7405 Ave 216,Tulare,Tulare,93274,5F
10593,239565,JNA Dairy,36.2963,-119.4311,6323 Avenue 280,Visalia,Tulare,93277,5F
10594,239607,Zephyr Dairy,33.9555,-117.642,7360 Pine Avenue,Chino,San Bernardino,91708,8
11804,239638,Martella Livestock Market,36.0827,-119.3186,16140  Highway 99,Tipton,Tulare,93272,5F
10595,239644,Martin Bangma Dairy,34.0031,-117.6127,8847 Schaefer Avenue,Ontario,San Bernardino,91761,8
10596,239650,Martin Land and Cattle,37.8275,-120.885,6100 Hinds Road,Oakdale,Stanislaus,95361,5S
10597,239651,Martin Family Farm,38.0713,-121.3333,11401 North Davis Road,Lodi,San Joaquin,95242,5S
10598,239652,Ontario Ranch Holsteins #3,33.9977,-117.6234,8311 Edison Avenue,Ontario,San Bernardino,91762,8
10599,239666,Martin Verhoeven Dairy,33.9902,-117.6579,6718 Eucalyptus,Chino,San Bernardino,91710,8
10600,239695,Golden View Dairy,36.2118,-119.4851,3926 Avenue 232,Tulare,Tulare,93274,5F
10601,239696,Former VL Furtado Dairy,36.2927,-119.7092,12281 14 Th Avenue,Hanford,Kings,93230,5F
10602,239697,Martin Brothers Farming,36.2787,-119.6201,13380 9th Avenue,Hanford,Kings,93230,5F
10603,239718,John & Margie Oostdam Dairy Heifer Ranch,33.7974,-116.9546,22323 Alessandro Avenue,San Jacinto,Riverside,92583,8
10604,239719,Marvo Holsteins Dairy,33.8514,-117.0815,18400 Main Street,Lakeview,Riverside,92567,8
10605,239721,Robert Brazil Dairy,36.2531,-119.5999,15035 8th Avenue,Hanford,Kings,93230,5F
11722,239733,Masami Cattle Ranch,40.0196,-122.3581,18250 Rancho Tehama Road,Corning,Tehama,96021,5S
10606,239741,"Bar M Ranch, Mason Dairy",40.8832,-124.1137,3422 Foster Avenue,Arcata,Humboldt,95521,1
10607,239820,Ramona Dairy #2,33.7956,-117.0333,581 North Warren Road,San Jacinto,Riverside,92582,8
10608,239834,Mattos Brothers Dairy,36.2105,-119.5318,4017 Kansas Avenue,Hanford,Kings,93230,5F
10609,239864,Maximinio Silviera Dairy,37.2406,-120.414,4210 Lingard Road,Merced,Merced,95340,5S
11899,239940,MC Triple J Ranch (Closed),36.3738,-119.8144,6873  20th Avenue,Lemoore,Kings,93245,5F
10610,240001,Mcclure Dairy Inc.,38.1344,-122.9403,4101 Pierce Point Road,Inverness,Marin,94937,2
10611,240053,"Lorreia Heifer Ranch (Former Bar M Dairy, INC.8)",38.2668,-122.7236,5360 Bodega Ave.,Petaluma,Sonoma,94952,2
10612,240063,Mcfarland Dairy,35.6593,-119.2383,31348 Hanawalt Avenue,Mcfarland,Kern,93250,5F
10613,240084,McIsaac Dairy,38.1168,-122.6117,2754 Novato Blvd.,Novato,Marin,94947,2
10614,240133,Vida Boa Dairy #1,36.2236,-119.2369,15125 Avenue 240,Tulare,Tulare,93274,5F
10615,240136,Triangle M Dairy,37.0177,-120.3444,11302 Avenue 18 1/2,Chowchilla,Madera,93610,5F
11696,240163,Meadowbrook Dairy,34.5768,-117.5782,17900 Sheep Creek Road,El Mirage,San Bernardino,92301,6B
10616,240169,Meadow Lake Dairy,36.0167,-119.422,6802 Avenue 120,Tipton,Tulare,93272,5F
10617,240180,Meadows Ranch & TK Ranch (Meadows Dairy),38.3183,-122.8467,6365 Bloomfield Road,Petaluma,Sonoma,94952,1
10618,240205,Medeiros Dairy,36.4388,-119.7872,608 East Riverdale Avenue,Laton,Fresno,93242,5F
10619,240243,Meikle Dairy,37.6141,-121.1218,1685 South Hart Road,Modesto,Stanislaus,95358,5S
11719,240270,Melo,37.4757,-120.5954,6054 Turlock Road,Snelling,Merced,95369,5S
11759,240273,Meloland Cattle Company,32.7163,-115.6378,907  Brockman Road,El Centro,Imperial,92243,7
11805,240298,Mendes Calf Ranch #2,35.9383,-119.4324,8385  Road 64,Pixley,Tulare,93256,5F
10620,240304,Ben Mendonca & Family Dairy,36.1436,-119.2972,19517 Road 124,Tulare,Tulare,93274,5F
10621,240328,John Mendonca & Son Dairy,36.2388,-119.3958,2785 North Colpien Avenue,Tulare,Tulare,93274,5F
10622,240330,Joe C Dias & SON Dairy,36.4309,-119.8058,437 West Mount Whitney Avenue,Riverdale,Fresno,93656,5F
10623,240332,Mendonca Dairy,36.1133,-119.3314,17641 I Drive,Tulare,Tulare,93274,5F
10624,240337,Peterson Dairy,35.7028,-119.2527,30999 Peterson Road,Mcfarland,Kern,93250,5F
10625,240338,Mendonsa Family Farms Dairy,36.0814,-119.2869,12750 Avenue 160,Tipton,Tulare,93272,5F
10626,240417,Mertens Dairy,38.2281,-122.4726,1100 Bonneau Road,Sonoma,Sonoma,95476,2
11877,240433,Mesquite Feedyard,32.9745,-115.3977,1504  Hwy 78,Brawley,Imperial,92227,7
10627,240561,Michael De Hoog Dairy,33.9973,-117.6228,8381 Edison Avenue,Ontario,San Bernardino,91710,8
10628,240579,Mello Ranch,37.628,-120.8065,744 McEwen Road,Waterford,Stanislaus,95386,5S
10629,240712,G3 Dairy,35.2949,-118.939,5829 East Panama Lane,Bakersfield,Kern,93307,5F
10630,240771,John Vander Schaaf #3 Dairy,37.8394,-121.1084,13775 Murphy Road,Escalon,San Joaquin,95320,5S
10631,240772,Milky Way Dairy,36.7368,-119.981,10610 West Whitesbridge Avenue,Fresno,Fresno,93706,5F
10632,240851,Minaberry Dairy #1,33.9905,-117.6114,8731 Eucalyptus Avenue,Ontario,San Bernardino,91762,8
11673,240859,MINERAL KING DAIRY,36.4102,-119.3422,33803 ROAD 108,VISALIA,Tulare,93291,5F
10633,240916,Miranda Dairy,40.5935,-124.1999,965 Waddington Road,Ferndale,Humboldt,95536,1
10634,241006,Misty Meadow Farms,40.5447,-124.1295,Victoria Lane,Fortuna,Humboldt,95540,1
10635,241165,John Vieira Partnership,37.8302,-121.0399,22075 East Lone Tree Road,Escalon,San Joaquin,95320,5S
11864,241167,Moiola Brothers Cattle,32.9529,-115.3973,1594  Gonder Road,Brawley,Imperial,92227,7
10636,241289,Monteiro Bros. Dairy #1,36.4456,-119.8924,5336 West Harlan Avenue,Riverdale,Fresno,93656,5F
10637,241290,Monteiro Bros. Dairy #2,36.4456,-119.8807,4604 West Harlan Avenue,Riverdale,Fresno,93656,5F
11690,241356,Moonglow Dairy--Moss Landing,36.8097,-121.761,357 Dolan Rd,Moss Landing,Monterey,95039,3
10638,241364,Gordon Dairy #4,33.9912,-117.6367,14451 South Bon View,Ontario,San Bernardino,91710,8
10639,241391,Morais Dairies,40.9186,-124.1073,1364 Silva Road,Mckinleyville,Humboldt,95519,1
10640,241400,The Arend Ranch,38.2322,-122.735,3247 Springhill Road,Petaluma,Sonoma,94952,2
10641,241401,Moreda Valley Dairy #1,38.2126,-122.7363,3286 Chileno Valley Road,Petaluma,Marin,94952,2
10642,241413,Pastime Lakes Heifer Ranch,33.8857,-117.0694,34005 Gilman Springs Road,Moreno Valley,Riverside,92555,8
10643,241444,Morning Star Dairy,36.495,-119.981,10032 West Elkhorn Avenue,Burrel,Fresno,93656,5F
10644,241455,Living Waters Dairy,36.5036,-119.7385,2871 East Clarkson Avenue,Selma,Fresno,93662,5F
10645,241461,Moris Land Company,37.8872,-121.055,8892 Van Allen Road,Stockton,San Joaquin,95215,5S
10646,241470,Morrison Brothers Dairy,38.3535,-122.7442,5157 Stony Point Road,Santa Rosa,Sonoma,95407,1
10647,241642,Mountain View Dairy,36.4658,-119.25,37248 Road 144,Visalia,Tulare,93292,5F
10648,241816,Mt. Whitney Dairy,36.4316,-119.8485,2792 West Mt. Whitney Avenue,Riverdale,Fresno,93656,5F
10649,241837,Mulas Dairy,38.2452,-122.4289,2034 Fremont Dr,Sonoma,Sonoma,95476,2
10650,242249,Tripalm Dairy,36.2688,-119.5009,2429 Idaho Avenue,Hanford,Tulare,93230,5F
10651,242260,Maple Dairy (Zonneveld),36.4513,-119.7546,19860 Maple Street,Laton,Fresno,93242,5F
10652,242665,Bar M Ranch,36.2529,-119.711,14025 Jackson Avenue,Hanford,Kings,93230,5F
10653,242699,SIMOES SANDLIN FAMILY FARMS DAIRY,36.1238,-119.3417,10248 Avenue 184,Tulare,Tulare,93274,5F
10654,242943,Milk Maid Dairy,36.4404,-119.3487,35826 Road 100,Visalia,Tulare,93291,5F
10655,242944,Milk Time Dairy,36.9313,-120.2495,12519 Road 17,Madera,Madera,93637,5F
10656,243362,TSB AG,36.8679,-120.1376,22355 Avenue 8,Madera,Madera,93637,5F
10657,243363,Moonlight Dairy,36.293,-119.4599,4974 Avenue 272,Visalia,Tulare,93277,5F
11691,243755,N & M Dairy,34.7914,-117.2501,30061  Lords Road,Helendale,San Bernardino,92342,6
10658,243803,El Dorado Ranches Dairy,36.6606,-120.2075,23025 West American Avenue,San Joaquin,Fresno,93660,5F
10659,243827,Costa / Brasil Dairy,36.3185,-119.4468,29134 Road 56,Visalia,Tulare,93277,5F
10660,243878,Nascimento Dairy,38.1247,-121.1456,15620 North Jacktone Road,Lodi,San Joaquin,95240,5S
10661,243881,Raven Dairy,36.5177,-119.7164,4109 East Conejo Avenue,Selma,Fresno,93662,5F
10662,244092,L & L Dairy Farms,36.4434,-119.4041,7435 Avenue 360,Kingsburg,Tulare,93631,5F
10663,244139,June Rise Cattle,36.9507,-120.4159,7500 Avenue 14,Madera,Madera,93637,5F
10664,244210,Cardoso Brothers Dairy #2,36.9108,-120.0974,24699 Avenue 11,Madera,Madera,93637,5F
